"ind_date_anchor","ind_obs_note","ind_place","ind_num_Death: Overdose Death","ind_num_Death: Illicit Opioid Overdose","ind_num_CSRS: Patients Receiving Buprenorphine","ind_num_CSRS: Patients Receiving Opioids","ind_num_DMH: Treatment Services","ind_num_DSS: Foster Care due to Parental SU","ind_num_ED Visits: Overdose ED Visit","ind_denom_Death: Overdose Death","ind_denom_Death: Illicit Opioid Overdose","ind_denom_CSRS: Patients Receiving Buprenorphine","ind_denom_CSRS: Patients Receiving Opioids","ind_denom_DMH: Treatment Services","ind_denom_DSS: Foster Care due to Parental SU","ind_denom_ED Visits: Overdose ED Visit","ind_rate_Death: Overdose Death","ind_rate_Death: Illicit Opioid Overdose","ind_rate_CSRS: Patients Receiving Buprenorphine","ind_rate_CSRS: Patients Receiving Opioids","ind_rate_DMH: Treatment Services","ind_rate_DSS: Foster Care due to Parental SU","ind_rate_ED Visits: Overdose ED Visit"
"2011",NA,"Iredell",36,2,NA,NA,NA,NA,NA,161037,36,NA,NA,NA,NA,NA,22.4,5.555555556,NA,NA,NA,NA,NA
"2011",NA,"Jackson",7,1,NA,NA,NA,NA,NA,40240,7,NA,NA,NA,NA,NA,17.4,14.285714286,NA,NA,NA,NA,NA
"2011",NA,"Johnston",20,1,NA,NA,NA,NA,NA,172446,20,NA,NA,NA,NA,NA,11.6,5,NA,NA,NA,NA,NA
"2011",NA,"Jones",0,0,NA,NA,NA,NA,NA,10060,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2011",NA,"Lee",11,0,NA,NA,NA,NA,NA,58531,11,NA,NA,NA,NA,NA,18.8,0,NA,NA,NA,NA,NA
"2011",NA,"Lenoir",13,4,NA,NA,NA,NA,NA,59411,13,NA,NA,NA,NA,NA,21.9,30.769230769,NA,NA,NA,NA,NA
"2011",NA,"Lincoln",13,1,NA,NA,NA,NA,NA,78297,13,NA,NA,NA,NA,NA,16.6,7.692307692,NA,NA,NA,NA,NA
"2011",NA,"Macon",5,1,NA,NA,NA,NA,NA,33887,5,NA,NA,NA,NA,NA,14.8,20,NA,NA,NA,NA,NA
"2011",NA,"Madison",1,0,NA,NA,NA,NA,NA,20845,1,NA,NA,NA,NA,NA,4.8,0,NA,NA,NA,NA,NA
"2011",NA,"Martin",1,0,NA,NA,NA,NA,NA,24186,1,NA,NA,NA,NA,NA,4.1,0,NA,NA,NA,NA,NA
"2011",NA,"McDowell",7,0,NA,NA,NA,NA,NA,45053,7,NA,NA,NA,NA,NA,15.5,0,NA,NA,NA,NA,NA
"2011",NA,"Mecklenburg",77,7,NA,NA,NA,NA,NA,943823,77,NA,NA,NA,NA,NA,8.2,9.090909091,NA,NA,NA,NA,NA
"2011",NA,"Mitchell",2,1,NA,NA,NA,NA,NA,15356,2,NA,NA,NA,NA,NA,13,50,NA,NA,NA,NA,NA
"2011",NA,"Montgomery",0,0,NA,NA,NA,NA,NA,27706,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2011",NA,"Moore",7,1,NA,NA,NA,NA,NA,89262,7,NA,NA,NA,NA,NA,7.8,14.285714286,NA,NA,NA,NA,NA
"2011",NA,"Nash",10,1,NA,NA,NA,NA,NA,95740,10,NA,NA,NA,NA,NA,10.4,10,NA,NA,NA,NA,NA
"2011",NA,"NC",1222,146,NA,NA,NA,NA,NA,9657592,1222,NA,NA,NA,NA,NA,12.7,11.947626841,NA,NA,NA,NA,NA
"2011",NA,"New Hanover",39,4,NA,NA,NA,NA,NA,205966,39,NA,NA,NA,NA,NA,18.9,10.256410256,NA,NA,NA,NA,NA
"2011",NA,"Northampton",1,0,NA,NA,NA,NA,NA,21916,1,NA,NA,NA,NA,NA,4.6,0,NA,NA,NA,NA,NA
"2011",NA,"Onslow",23,4,NA,NA,NA,NA,NA,184993,23,NA,NA,NA,NA,NA,12.4,17.391304348,NA,NA,NA,NA,NA
"2011",NA,"Orange",16,1,NA,NA,NA,NA,NA,134825,16,NA,NA,NA,NA,NA,11.9,6.25,NA,NA,NA,NA,NA
"2011",NA,"Pamlico",2,0,NA,NA,NA,NA,NA,13244,2,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA,NA
"2011",NA,"Pasquotank",5,2,NA,NA,NA,NA,NA,40266,5,NA,NA,NA,NA,NA,12.4,40,NA,NA,NA,NA,NA
"2011",NA,"Pender",6,0,NA,NA,NA,NA,NA,53175,6,NA,NA,NA,NA,NA,11.3,0,NA,NA,NA,NA,NA
"2011",NA,"Perquimans",1,0,NA,NA,NA,NA,NA,13498,1,NA,NA,NA,NA,NA,7.4,0,NA,NA,NA,NA,NA
"2011",NA,"Person",9,0,NA,NA,NA,NA,NA,39520,9,NA,NA,NA,NA,NA,22.8,0,NA,NA,NA,NA,NA
"2011",NA,"Pitt",9,1,NA,NA,NA,NA,NA,170791,9,NA,NA,NA,NA,NA,5.3,11.111111111,NA,NA,NA,NA,NA
"2011",NA,"Polk",3,0,NA,NA,NA,NA,NA,20288,3,NA,NA,NA,NA,NA,14.8,0,NA,NA,NA,NA,NA
"2011",NA,"Randolph",23,4,NA,NA,NA,NA,NA,141858,23,NA,NA,NA,NA,NA,16.2,17.391304348,NA,NA,NA,NA,NA
"2011",NA,"Richmond",11,4,NA,NA,NA,NA,NA,46651,11,NA,NA,NA,NA,NA,23.6,36.363636364,NA,NA,NA,NA,NA
"2011",NA,"Robeson",22,4,NA,NA,NA,NA,NA,135183,22,NA,NA,NA,NA,NA,16.3,18.181818182,NA,NA,NA,NA,NA
"2011",NA,"Rockingham",17,5,NA,NA,NA,NA,NA,93284,17,NA,NA,NA,NA,NA,18.2,29.411764706,NA,NA,NA,NA,NA
"2011",NA,"Rowan",36,5,NA,NA,NA,NA,NA,137805,36,NA,NA,NA,NA,NA,26.1,13.888888889,NA,NA,NA,NA,NA
"2011",NA,"Rutherford",15,1,NA,NA,NA,NA,NA,67416,15,NA,NA,NA,NA,NA,22.2,6.666666667,NA,NA,NA,NA,NA
"2011",NA,"Sampson",11,2,NA,NA,NA,NA,NA,63514,11,NA,NA,NA,NA,NA,17.3,18.181818182,NA,NA,NA,NA,NA
"2011",NA,"Scotland",3,1,NA,NA,NA,NA,NA,36275,3,NA,NA,NA,NA,NA,8.3,33.333333333,NA,NA,NA,NA,NA
"2011",NA,"Stanly",11,1,NA,NA,NA,NA,NA,60530,11,NA,NA,NA,NA,NA,18.2,9.090909091,NA,NA,NA,NA,NA
"2011",NA,"Stokes",14,2,NA,NA,NA,NA,NA,47142,14,NA,NA,NA,NA,NA,29.7,14.285714286,NA,NA,NA,NA,NA
"2011",NA,"Surry",14,3,NA,NA,NA,NA,NA,73496,14,NA,NA,NA,NA,NA,19,21.428571429,NA,NA,NA,NA,NA
"2011",NA,"Swain",2,1,NA,NA,NA,NA,NA,14007,2,NA,NA,NA,NA,NA,14.3,50,NA,NA,NA,NA,NA
"2011",NA,"Transylvania",5,1,NA,NA,NA,NA,NA,32807,5,NA,NA,NA,NA,NA,15.2,20,NA,NA,NA,NA,NA
